$username used Double-Edge on  $randuser, it was super effective!
$username used Aerial Ace on  $randuser, it was super effective!
$username used Ice Punch on  $randuser, it was not very effective (
$username used Secret Power on  $randuser, critical hit!!!
$username used Boomburst on  $randuser, it was super effective!
$username used Poison Jab on  $randuser, it was super effective!
$username used Psycho Boost on  $randuser, it was super effective!
$username used Waterfall on  $randuser, it was super effective!
$username used Twineedle on  $randuser, it was super effective!
$username used Rollout on  $randuser, it was not very effective (
$username used Psywave on  $randuser, critical hit!!!
$username used Sand Attack on  $randuser, it was super effective!
$username used Focus Punch on  $randuser, it was super effective!
$username used Torment on  $randuser, critical hit!!!
$username used Thrash on  $randuser, it was not very effective (
$username used Self-Destruct on  $randuser, critical hit!!!
$username used Play Rough on  $randuser, critical hit!!!
$username used Incinerate on  $randuser, critical hit!!!
$username used Smack Down on  $randuser, it was not very effective (
$username used Freeze Shock on  $randuser, it was super effective!
$username used Flash Cannon on  $randuser, it was not very effective (
$username used Recover on  $randuser, it was super effective!
$username used Dual Chop on  $randuser, it was not very effective (
$username used Ice Punch on  $randuser, critical hit!!!
$username used Mud Shot on  $randuser, it was super effective!
$username used Magnet Bomb on  $randuser, it was not very effective (
$username used Vacuum Wave on  $randuser, critical hit!!!
$username used Shadow Force on  $randuser, it was not very effective (
$username used Bubble Beam on  $randuser, it was not very effective (
$username used Giga Impact on  $randuser, it was not very effective (
$username used Cross Poison on  $randuser, it was not very effective (
$username used Thunder on  $randuser, critical hit!!!
$username used Moonlight on  $randuser, critical hit!!!
$username used Ancient Power on  $randuser, critical hit!!!
$username used Withdraw on  $randuser, critical hit!!!
$username used Sonic Boom on  $randuser, critical hit!!!
$username used Hurricane on  $randuser, it was super effective!
$username used Guillotine on  $randuser, critical hit!!!
$username used Psych Up on  $randuser, critical hit!!!
$username used Volt Tackle on  $randuser, it was super effective!
$username used Conversion on  $randuser, it was not very effective (
$username used Blue Flare on  $randuser, it was super effective!
$username used Double Team on  $randuser, it was not very effective (
$username used Heart Swap on  $randuser, critical hit!!!
$username used Counter on  $randuser, it was not very effective (
$username used Trick on  $randuser, critical hit!!!
$username used Uproar on  $randuser, critical hit!!!
$username used Double Kick on  $randuser, critical hit!!!
$username used Nasty Plot on  $randuser, it was super effective!
$username used Encore on  $randuser, it was super effective!
$username used Avalanche on  $randuser, critical hit!!!
$username used Volt Tackle on  $randuser, critical hit!!!
$username used Smokescreen on  $randuser, it was super effective!
$username used Simple Beam on  $randuser, it was super effective!
$username used Head Smash on  $randuser, it was super effective!
$username used Attract on  $randuser, it was not very effective (
$username used Sheer Cold on  $randuser, it was super effective!
$username used Hydro Cannon on  $randuser, critical hit!!!
$username used Bounce on  $randuser, it was not very effective (
$username used Heart Stamp on  $randuser, it was super effective!
$username used Charm on  $randuser, it was not very effective (
$username used Poison Tail on  $randuser, it was super effective!
$username used Payback on  $randuser, it was super effective!
$username used Crush Claw on  $randuser, it was not very effective (
$username used Octazooka on  $randuser, critical hit!!!
$username used Bullet Seed on  $randuser, it was not very effective (
$username used Leer on  $randuser, critical hit!!!
$username used Bone Rush on  $randuser, it was not very effective (
$username used Destiny Bond on  $randuser, critical hit!!!
$username used After You on  $randuser, it was not very effective (
$username used Shadow Punch on  $randuser, critical hit!!!
$username used Disarming Voice on  $randuser, it was not very effective (
$username used Sheer Cold on  $randuser, critical hit!!!
$username used Zap Cannon on  $randuser, it was super effective!
$username used Dive on  $randuser, it was not very effective (
$username used Synthesis on  $randuser, critical hit!!!
$username used Topsy-Turvy on  $randuser, it was super effective!
$username used Clamp on  $randuser, it was not very effective (
$username used Slash on  $randuser, it was super effective!
$username used Autotomize on  $randuser, it was super effective!
$username used Haze on  $randuser, critical hit!!!
$username used Doom Desire on  $randuser, it was not very effective (
$username used Trick on  $randuser, it was not very effective (
$username used Mimic on  $randuser, it was super effective!
$username used Miracle Eye on  $randuser, critical hit!!!
$username used Last Resort on  $randuser, it was super effective!
$username used Sacred Sword on  $randuser, critical hit!!!
$username used Reflect Type on  $randuser, it was super effective!
$username used Dragon Rage on  $randuser, critical hit!!!
$username used Copycat on  $randuser, it was not very effective (
$username used Psycho Shift on  $randuser, critical hit!!!
$username used Happy Hour on  $randuser, it was not very effective (
$username used Flame Charge on  $randuser, it was not very effective (
$username used Fiery Dance on  $randuser, critical hit!!!
$username used Skull Bash on  $randuser, critical hit!!!
$username used Mud Sport on  $randuser, critical hit!!!
$username used Taunt on  $randuser, it was not very effective (
$username used Transform on  $randuser, critical hit!!!
$username used Tail Whip on  $randuser, it was super effective!
$username used Astonish on  $randuser, critical hit!!!
$username used Attract on  $randuser, it was super effective!
$username used Judgment on  $randuser, critical hit!!!
$username used Scald on  $randuser, it was not very effective (
$username used Leaf Blade on  $randuser, it was not very effective (
$username used Guard Swap on  $randuser, it was not very effective (
$username used Heart Stamp on  $randuser, it was not very effective (
$username used Self-Destruct on  $randuser, it was not very effective (
$username used Destiny Bond on  $randuser, it was super effective!
$username used Cross Chop on  $randuser, it was not very effective (
$username used Psycho Shift on  $randuser, it was super effective!
$username used Storm Throw on  $randuser, it was super effective!
$username used Foul Play on  $randuser, it was not very effective (
$username used Curse on  $randuser, it was super effective!
$username used Mega Kick on  $randuser, it was super effective!
$username used Will-O-Wisp on  $randuser, it was not very effective (
$username used Bulldoze on  $randuser, critical hit!!!
$username used Mud Bomb on  $randuser, critical hit!!!
$username used Sky Uppercut on  $randuser, it was not very effective (
$username used Dragon Pulse on  $randuser, it was not very effective (
$username used Ancient Power on  $randuser, it was not very effective (
$username used Head Charge on  $randuser, critical hit!!!
$username used Hyper Fang on  $randuser, it was super effective!
$username used Helping Hand on  $randuser, it was not very effective (
$username used Freeze-Dry on  $randuser, it was not very effective (
$username used Bubble Beam on  $randuser, it was super effective!
$username used Heal Pulse on  $randuser, it was not very effective (
$username used Ingrain on  $randuser, critical hit!!!
$username used Sleep Talk on  $randuser, it was not very effective (
$username used Wing Attack on  $randuser, critical hit!!!
$username used Draining Kiss on  $randuser, critical hit!!!
$username used Hydro Cannon on  $randuser, it was super effective!
$username used Flash Cannon on  $randuser, critical hit!!!
$username used Aura Sphere on  $randuser, it was super effective!
$username used Searing Shot on  $randuser, critical hit!!!
$username used Dive on  $randuser, it was super effective!
$username used Vital Throw on  $randuser, critical hit!!!
$username used Grassy Terrain on  $randuser, critical hit!!!
$username used Bonemerang on  $randuser, it was super effective!
$username used Megahorn on  $randuser, it was super effective!
$username used Rock Throw on  $randuser, it was not very effective (
$username used Dynamic Punch on  $randuser, it was super effective!
$username used Fissure on  $randuser, it was super effective!
$username used Bullet Punch on  $randuser, critical hit!!!
$username used Close Combat on  $randuser, it was super effective!
$username used Rock Throw on  $randuser, it was super effective!
$username used Healing Wish on  $randuser, it was super effective!
$username used Lava Plume on  $randuser, critical hit!!!
$username used Flash Cannon on  $randuser, it was super effective!
$username used Defog on  $randuser, it was super effective!
$username used Guard Swap on  $randuser, critical hit!!!
$username used Aeroblast on  $randuser, it was super effective!
$username used Toxic Spikes on  $randuser, critical hit!!!
$username used Heal Pulse on  $randuser, it was super effective!
$username used Revenge on  $randuser, it was super effective!
$username used Parabolic Charge on  $randuser, it was not very effective (
$username used Razor Leaf on  $randuser, critical hit!!!
$username used Facade on  $randuser, it was super effective!
$username used Chip Away on  $randuser, critical hit!!!
$username used Mirror Coat on  $randuser, critical hit!!!
$username used Tailwind on  $randuser, it was not very effective (
$username used Flame Charge on  $randuser, it was super effective!
$username used Freeze Shock on  $randuser, critical hit!!!
$username used Double Team on  $randuser, critical hit!!!
$username used Baby-Doll Eyes on  $randuser, it was super effective!
$username used Phantom Force on  $randuser, it was super effective!
$username used Assist on  $randuser, critical hit!!!
$username used U-turn on  $randuser, critical hit!!!
$username used Flail on  $randuser, critical hit!!!
$username used Rock Blast on  $randuser, it was not very effective (
$username used Shock Wave on  $randuser, it was not very effective (
$username used Hex on  $randuser, it was not very effective (
$username used Vital Throw on  $randuser, it was super effective!
$username used Dazzling Gleam on  $randuser, it was super effective!
$username used Autotomize on  $randuser, it was not very effective (
$username used Pursuit on  $randuser, it was not very effective (
$username used Sludge Bomb on  $randuser, it was super effective!
$username used Mat Block on  $randuser, critical hit!!!
$username used Metal Burst on  $randuser, it was not very effective (
$username used Play Nice on  $randuser, it was not very effective (
$username used Wood Hammer on  $randuser, it was super effective!
$username used Grass Pledge on  $randuser, it was super effective!
$username used Tail Slap on  $randuser, critical hit!!!
$username used Outrage on  $randuser, critical hit!!!
$username used Snarl on  $randuser, it was super effective!
$username used Superpower on  $randuser, it was super effective!
$username used Meteor Mash on  $randuser, it was not very effective (
$username used Ice Burn on  $randuser, critical hit!!!
$username used Covet on  $randuser, it was super effective!
$username used Origin Pulse on  $randuser, it was not very effective (
$username used Solar Beam on  $randuser, it was super effective!
$username used Meditate on  $randuser, it was not very effective (
$username used Thunder Shock on  $randuser, critical hit!!!
$username used Shell Smash on  $randuser, critical hit!!!
$username used Trick-or-Treat on  $randuser, critical hit!!!
$username used Bounce on  $randuser, critical hit!!!
$username used Sacred Sword on  $randuser, it was super effective!
$username used Signal Beam on  $randuser, it was super effective!
$username used Focus Blast on  $randuser, it was not very effective (
$username used Light Screen on  $randuser, it was super effective!
$username used Ember on  $randuser, it was super effective!
$username used Happy Hour on  $randuser, it was super effective!
$username used Belly Drum on  $randuser, it was super effective!
$username used Water Pledge on  $randuser, critical hit!!!
$username used Chip Away on  $randuser, it was not very effective (
$username used Mind Reader on  $randuser, critical hit!!!
$username used Flame Charge on  $randuser, critical hit!!!
$username used Fury Attack on  $randuser, it was not very effective (
$username used Horn Attack on  $randuser, critical hit!!!
$username used Leaf Storm on  $randuser, it was super effective!
$username used After You on  $randuser, critical hit!!!
$username used Aura Sphere on  $randuser, it was not very effective (
$username used Scary Face on  $randuser, critical hit!!!
$username used Chatter on  $randuser, it was super effective!
$username used Heal Bell on  $randuser, it was not very effective (
$username used Sunny Day on  $randuser, it was not very effective (
$username used Confide on  $randuser, it was not very effective (
$username used Icy Wind on  $randuser, critical hit!!!
$username used Perish Song on  $randuser, critical hit!!!
$username used Grudge on  $randuser, it was super effective!
$username used Sharpen on  $randuser, it was super effective!
$username used Sweet Scent on  $randuser, it was super effective!
$username used Withdraw on  $randuser, it was super effective!
$username used Spite on  $randuser, it was super effective!
$username used Cotton Guard on  $randuser, critical hit!!!
$username used Sand Tomb on  $randuser, critical hit!!!
$username used Memento on  $randuser, critical hit!!!
$username used Poison Fang on  $randuser, it was not very effective (
$username used Spike Cannon on  $randuser, it was not very effective (
$username used Flame Burst on  $randuser, it was not very effective (
$username used Power Whip on  $randuser, it was super effective!
$username used Outrage on  $randuser, it was not very effective (
$username used Psystrike on  $randuser, critical hit!!!
$username used Poison Fang on  $randuser, it was super effective!
$username used Belly Drum on  $randuser, critical hit!!!
$username used Secret Power on  $randuser, it was not very effective (
$username used Dream Eater on  $randuser, it was not very effective (
$username used Smelling Salts on  $randuser, it was not very effective (
$username used Gear Grind on  $randuser, it was not very effective (
$username used Circle Throw on  $randuser, critical hit!!!
$username used Spacial Rend on  $randuser, critical hit!!!
$username used Brick Break on  $randuser, it was super effective!
$username used Memento on  $randuser, it was not very effective (
$username used Stun Spore on  $randuser, it was super effective!
$username used Water Sport on  $randuser, critical hit!!!
$username used Low Kick on  $randuser, it was super effective!
$username used Mystical Fire on  $randuser, it was not very effective (
$username used Metal Claw on  $randuser, it was super effective!
$username used Light of Ruin on  $randuser, it was not very effective (
$username used Magnet Bomb on  $randuser, it was super effective!
$username used Stealth Rock on  $randuser, critical hit!!!
$username used Light of Ruin on  $randuser, it was super effective!
$username used Magnetic Flux on  $randuser, it was super effective!
$username used Punishment on  $randuser, it was not very effective (
$username used Aqua Ring on  $randuser, it was not very effective (
$username used Double Kick on  $randuser, it was super effective!
$username used Whirlpool on  $randuser, critical hit!!!
$username used Rest on  $randuser, critical hit!!!
$username used Force Palm on  $randuser, it was super effective!
$username used Dragon Breath on  $randuser, it was super effective!
$username used Struggle Bug on  $randuser, it was super effective!
$username used Sky Uppercut on  $randuser, it was super effective!
$username used Quash on  $randuser, it was not very effective (
$username used Snatch on  $randuser, it was not very effective (
$username used Lick on  $randuser, critical hit!!!
$username used Psybeam on  $randuser, it was super effective!
$username used Eruption on  $randuser, it was super effective!
$username used Crush Grip on  $randuser, it was super effective!
$username used Uproar on  $randuser, it was super effective!
$username used Zap Cannon on  $randuser, it was not very effective (
$username used Precipice Blades on  $randuser, critical hit!!!
$username used Powder on  $randuser, it was not very effective (
$username used Punishment on  $randuser, critical hit!!!
$username used Toxic on  $randuser, critical hit!!!
$username used Steam Eruption on  $randuser, it was not very effective (
$username used Spike Cannon on  $randuser, it was super effective!
$username used Egg Bomb on  $randuser, it was super effective!
$username used Pin Missile on  $randuser, critical hit!!!
$username used Icicle Crash on  $randuser, it was not very effective (
$username used Confusion on  $randuser, it was not very effective (
$username used Dragon Dance on  $randuser, critical hit!!!
$username used Barrier on  $randuser, critical hit!!!
$username used Avalanche on  $randuser, it was super effective!
$username used Refresh on  $randuser, it was not very effective (
$username used Night Slash on  $randuser, it was not very effective (
$username used Rapid Spin on  $randuser, critical hit!!!
$username used Hydro Pump on  $randuser, it was not very effective (
$username used Water Gun on  $randuser, it was not very effective (
$username used Dragon Rush on  $randuser, critical hit!!!
$username used Electroweb on  $randuser, it was not very effective (
$username used Counter on  $randuser, critical hit!!!
$username used Wild Charge on  $randuser, it was not very effective (
$username used Skull Bash on  $randuser, it was not very effective (
$username used Mega Drain on  $randuser, it was super effective!
$username used Gear Grind on  $randuser, critical hit!!!
$username used Mirror Move on  $randuser, it was not very effective (
$username used Cross Chop on  $randuser, it was super effective!
$username used Rototiller on  $randuser, critical hit!!!
$username used Sleep Powder on  $randuser, it was not very effective (
$username used Aeroblast on  $randuser, it was not very effective (
$username used Night Shade on  $randuser, it was not very effective (
$username used Rapid Spin on  $randuser, it was not very effective (
$username used Aerial Ace on  $randuser, it was not very effective (
$username used Me First on  $randuser, it was super effective!
$username used Dark Pulse on  $randuser, it was not very effective (
$username used Hex on  $randuser, critical hit!!!
$username used Tailwind on  $randuser, it was super effective!
$username used Guillotine on  $randuser, it was not very effective (
$username used Gastro Acid on  $randuser, it was super effective!
$username used Quiver Dance on  $randuser, it was super effective!
$username used Brine on  $randuser, it was super effective!
$username used Petal Blizzard on  $randuser, it was not very effective (
$username used Razor Wind on  $randuser, it was not very effective (
$username used Glaciate on  $randuser, critical hit!!!
$username used Psyshock on  $randuser, critical hit!!!
$username used Snore on  $randuser, it was super effective!
$username used Return on  $randuser, it was super effective!
$username used Thousand Waves on  $randuser, it was super effective!
$username used Low Kick on  $randuser, critical hit!!!
$username used Iron Tail on  $randuser, it was super effective!
$username used Diamond Storm on  $randuser, it was super effective!
$username used Power-Up Punch on  $randuser, it was super effective!
$username used Megahorn on  $randuser, critical hit!!!
$username used Dive on  $randuser, critical hit!!!
$username used Horn Attack on  $randuser, it was super effective!
$username used Endeavor on  $randuser, critical hit!!!
$username used Bug Buzz on  $randuser, it was not very effective (
$username used Role Play on  $randuser, critical hit!!!
$username used Seismic Toss on  $randuser, it was not very effective (
$username used Jump Kick on  $randuser, critical hit!!!
$username used Thunder on  $randuser, it was super effective!
$username used Camouflage on  $randuser, it was not very effective (
$username used Ice Burn on  $randuser, it was not very effective (
$username used Double Team on  $randuser, it was super effective!
$username used String Shot on  $randuser, critical hit!!!
$username used Sing on  $randuser, it was super effective!
$username used Sludge on  $randuser, critical hit!!!
$username used Light of Ruin on  $randuser, critical hit!!!
$username used Hidden Power on  $randuser, critical hit!!!
$username used Guard Swap on  $randuser, it was super effective!
$username used Calm Mind on  $randuser, it was not very effective (
$username used Guard Split on  $randuser, it was not very effective (
$username used Shock Wave on  $randuser, critical hit!!!
$username used Flash on  $randuser, it was super effective!
$username used Twineedle on  $randuser, it was not very effective (
$username used Fairy Lock on  $randuser, critical hit!!!
$username used Karate Chop on  $randuser, it was super effective!
$username used Power Split on  $randuser, it was super effective!
$username used Stored Power on  $randuser, it was super effective!
$username used Sky Attack on  $randuser, critical hit!!!
$username used Dragon Pulse on  $randuser, critical hit!!!
$username used Water Gun on  $randuser, it was super effective!
$username used Metronome on  $randuser, it was super effective!
$username used Sweet Scent on  $randuser, critical hit!!!
$username used Cotton Guard on  $randuser, it was not very effective (
$username used Growl on  $randuser, it was not very effective (
$username used Bullet Punch on  $randuser, it was super effective!
$username used Tail Glow on  $randuser, it was not very effective (
$username used Surf on  $randuser, it was not very effective (
$username used Bubble on  $randuser, it was not very effective (
$username used Pound on  $randuser, critical hit!!!
$username used Grass Knot on  $randuser, critical hit!!!
$username used Fusion Bolt on  $randuser, it was super effective!
$username used Aqua Tail on  $randuser, critical hit!!!
$username used Future Sight on  $randuser, critical hit!!!
$username used Embargo on  $randuser, critical hit!!!
$username used Role Play on  $randuser, it was not very effective (
$username used Silver Wind on  $randuser, it was super effective!
$username used Curse on  $randuser, it was not very effective (
$username used Parabolic Charge on  $randuser, critical hit!!!
$username used Disable on  $randuser, it was super effective!
$username used Aromatherapy on  $randuser, it was not very effective (
$username used Misty Terrain on  $randuser, it was super effective!
$username used Defend Order on  $randuser, critical hit!!!
$username used Flatter on  $randuser, it was not very effective (
$username used Gear Grind on  $randuser, it was super effective!
$username used Toxic on  $randuser, it was super effective!
$username used Dragon Ascent on  $randuser, it was not very effective (
$username used Psyshock on  $randuser, it was not very effective (
$username used Leaf Blade on  $randuser, it was super effective!
$username used Tackle on  $randuser, it was super effective!
$username used Inferno on  $randuser, it was not very effective (
$username used Signal Beam on  $randuser, it was not very effective (
$username used Swagger on  $randuser, it was not very effective (
$username used Teleport on  $randuser, critical hit!!!
$username used Gyro Ball on  $randuser, critical hit!!!
$username used Bone Rush on  $randuser, critical hit!!!
$username used Switcheroo on  $randuser, it was not very effective (
$username used Giga Drain on  $randuser, it was not very effective (
$username used Razor Wind on  $randuser, critical hit!!!
$username used Present on  $randuser, critical hit!!!
$username used Harden on  $randuser, it was super effective!
$username used Coil on  $randuser, it was not very effective (
$username used Avalanche on  $randuser, it was not very effective (
$username used Growl on  $randuser, critical hit!!!
$username used Splash on  $randuser, it was not very effective (
$username used Crush Claw on  $randuser, it was super effective!
$username used Luster Purge on  $randuser, it was super effective!
$username used Miracle Eye on  $randuser, it was not very effective (
$username used Natural Gift on  $randuser, it was super effective!
$username used Aeroblast on  $randuser, critical hit!!!
$username used Magnet Rise on  $randuser, it was not very effective (
$username used Protect on  $randuser, critical hit!!!
$username used Splash on  $randuser, critical hit!!!
$username used Entrainment on  $randuser, critical hit!!!
$username used Roost on  $randuser, critical hit!!!
$username used Wonder Room on  $randuser, it was super effective!
$username used Wring Out on  $randuser, critical hit!!!
$username used Acid Armor on  $randuser, critical hit!!!
$username used Hyperspace Fury on  $randuser, critical hit!!!
$username used Coil on  $randuser, it was super effective!
$username used Stored Power on  $randuser, critical hit!!!
$username used Confuse Ray on  $randuser, it was not very effective (
$username used Meditate on  $randuser, critical hit!!!
$username used Celebrate on  $randuser, it was not very effective (
$username used Iron Head on  $randuser, critical hit!!!
$username used Dream Eater on  $randuser, critical hit!!!
$username used Sludge on  $randuser, it was super effective!
$username used Crabhammer on  $randuser, it was not very effective (
$username used Quick Attack on  $randuser, critical hit!!!
$username used Needle Arm on  $randuser, critical hit!!!
$username used Teeter Dance on  $randuser, it was super effective!
$username used Thunder Wave on  $randuser, it was not very effective (
$username used Close Combat on  $randuser, critical hit!!!
$username used Sticky Web on  $randuser, it was not very effective (
$username used Feint Attack on  $randuser, critical hit!!!
$username used Snore on  $randuser, it was not very effective (
$username used Brick Break on  $randuser, it was not very effective (
$username used Defense Curl on  $randuser, it was not very effective (
$username used Bone Club on  $randuser, it was not very effective (
$username used Steamroller on  $randuser, critical hit!!!
$username used Seed Bomb on  $randuser, it was not very effective (
$username used Confide on  $randuser, it was super effective!
$username used Conversion on  $randuser, it was super effective!
$username used Searing Shot on  $randuser, it was super effective!
$username used Double Slap on  $randuser, it was super effective!
$username used Shadow Force on  $randuser, it was super effective!
$username used Entrainment on  $randuser, it was super effective!
$username used Electric Terrain on  $randuser, critical hit!!!
$username used Take Down on  $randuser, it was not very effective (
$username used Shift Gear on  $randuser, it was super effective!
$username used Substitute on  $randuser, critical hit!!!
$username used Steel Wing on  $randuser, it was not very effective (
$username used Play Nice on  $randuser, it was super effective!
$username used Growth on  $randuser, it was super effective!
$username used Rock Throw on  $randuser, critical hit!!!
$username used Take Down on  $randuser, critical hit!!!
$username used Secret Sword on  $randuser, critical hit!!!
$username used Fly on  $randuser, it was super effective!
$username used Land's Wrath on  $randuser, it was super effective!
$username used Feint Attack on  $randuser, it was super effective!
$username used Body Slam on  $randuser, it was super effective!
$username used Hyperspace Fury on  $randuser, it was super effective!
$username used Scary Face on  $randuser, it was not very effective (
$username used Absorb on  $randuser, it was not very effective (
$username used Fairy Lock on  $randuser, it was not very effective (
$username used Hydro Pump on  $randuser, critical hit!!!
$username used Extrasensory on  $randuser, it was not very effective (
$username used Cotton Spore on  $randuser, critical hit!!!
$username used Autotomize on  $randuser, critical hit!!!
$username used Meteor Mash on  $randuser, it was super effective!
$username used Sweet Kiss on  $randuser, it was not very effective (
$username used Stored Power on  $randuser, it was not very effective (
$username used Gunk Shot on  $randuser, it was not very effective (
$username used Hammer Arm on  $randuser, it was super effective!
$username used Encore on  $randuser, it was not very effective (
$username used Bubble on  $randuser, critical hit!!!
$username used Metronome on  $randuser, critical hit!!!
$username used Amnesia on  $randuser, it was not very effective (
$username used Play Nice on  $randuser, critical hit!!!
$username used Reversal on  $randuser, it was super effective!
$username used Head Smash on  $randuser, it was not very effective (
$username used Eerie Impulse on  $randuser, it was super effective!
$username used Mean Look on  $randuser, it was not very effective (
$username used Leech Life on  $randuser, critical hit!!!
$username used Karate Chop on  $randuser, critical hit!!!
$username used Heal Order on  $randuser, critical hit!!!
$username used Low Sweep on  $randuser, it was super effective!
$username used Synchronoise on  $randuser, critical hit!!!
$username used Aura Sphere on  $randuser, critical hit!!!
$username used Dynamic Punch on  $randuser, it was not very effective (
$username used Imprison on  $randuser, critical hit!!!
$username used Headbutt on  $randuser, it was super effective!
$username used Brave Bird on  $randuser, it was super effective!
$username used Rage Powder on  $randuser, it was super effective!
$username used Blaze Kick on  $randuser, it was super effective!
$username used Venom Drench on  $randuser, it was not very effective (
$username used Fake Out on  $randuser, it was not very effective (
$username used Fling on  $randuser, critical hit!!!
$username used Belly Drum on  $randuser, it was not very effective (
$username used Egg Bomb on  $randuser, it was not very effective (
$username used Night Shade on  $randuser, critical hit!!!
$username used Flying Press on  $randuser, it was super effective!
$username used Disarming Voice on  $randuser, it was super effective!
$username used Sucker Punch on  $randuser, it was not very effective (
$username used Drill Peck on  $randuser, it was super effective!
$username used Refresh on  $randuser, it was super effective!
$username used Rain Dance on  $randuser, it was super effective!
$username used Defense Curl on  $randuser, critical hit!!!
$username used Leaf Tornado on  $randuser, it was super effective!
$username used Sunny Day on  $randuser, critical hit!!!
$username used Icy Wind on  $randuser, it was super effective!
